isco88_title,isco88_code,isco08_code,isco08_title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plumbers and Pipe Fitters,7136,7126,Plumbers and Pipe Fitters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building and Related Electricians,7137,7411,Building and Related Electricians,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Painters and Related Workers,7141,7131,Painters and Related Workers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Varnishers and Related Painters,7142,7132,Spray Painters and Varnishers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building Structure Cleaners,7143,7133,Building Structure Cleaners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building Structure Cleaners,7143,7544,Fumigators and Other Pest and Weed Controllers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metal Moulders and Coremakers,7211,7211,Metal Moulders and Coremakers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Welders and Flamecutters,7212,7212,Welders and Flamecutters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheet-metal Workers,7213,7213,Sheet Metal Workers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Structural-metal Preparers and Erectors,7214,7214,Structural Metal Preparers and Erectors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riggers and Cable Splicers,7215,7215,Riggers and Cable Splicers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Underwater Workers,7216,7541,Underwater Divers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Blacksmiths, Hammer-smiths and Forging-press Workers",7221,7221,"Blacksmiths, Hammersmiths and Forging Press Workers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tool-makers and Related Workers,7222,7222,Toolmakers and Related Workers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machine-tool Setters and Setter-operators,7223,7223,Metal Working Machine Tool Setters and Operators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machine-tool Setters and Setter-operators,7223,7319,Handicraft Workers Not Elsewhere Classified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Metal Wheel-grinders, Polishers and Tool Sharpeners",7224,7224,"Metal Polishers, Wheel Grinders and Tool Sharpeners",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motor Vehicle Mechanics and Fitters,7231,7231,Motor Vehicle Mechanics and Repairers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motor Vehicle Mechanics and Fitters,7231,7234,Bicycle and Related Repairers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aircraft Engine Mechanics and Fitters,7232,7232,Aircraft Engine Mechanics and Repairers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agricultural- or Industrial-machinery Mechanics and Fitters,7233,7127,Air Conditioning and Refrigeration Mechanics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agricultural- or Industrial-machinery Mechanics and Fitters,7233,7233,Agricultural and Industrial Machinery Mechanics and Repairers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electrical Mechanics and Fitters,7241,7412,Electrical Mechanics and Fitters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics Fitters,7242,7421,Electronics Mechanics and Servicers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics Fitters,7242,7422,Information and Communications Technology Installers and Servicers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics Mechanics and Servicers,7243,7421,Electronics Mechanics and Servicers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics Mechanics and Servicers,7243,7422,Information and Communications Technology Installers and Servicers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telegraph and Telephone Installers and Servicers,7244,7422,Information and Communications Technology Installers and Servicers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Electrical Line Installers, Repairers and Cable Jointers",7245,7413,Electrical Line Installers and Repairers ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Electrical Line Installers, Repairers and Cable Jointers",7245,7422,Information and Communications Technology Installers and Servicers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precision-instrument Makers and Repairers,7311,3214,Medical and Dental Prosthetic Technicians,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precision-instrument Makers and Repairers,7311,7311,Precision-instrument Makers and Repairers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Musical-instrument Makers and Tuners,7312,7312,Musical instrument Makers and Tuners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jewellery and Precious-metal Workers,7313,7313,Jewellery and Precious Metal Workers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abrasive Wheel Formers, Potters and Related Workers",7321,7314,Potters and Related Workers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Glass-makers, Cutters, Grinders and Finishers",7322,7315,"Glass Makers, Cutters, Grinders and Finishers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Glass-makers, Cutters, Grinders and Finishers",7322,7549,Craft and Related Workers Not Elsewhere Classified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glass Engravers and Etchers,7323,7316,"Signwriters, Decorative Painters, Engravers and Etchers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Glass, Ceramics and Related Decorative Painters",7324,7316,"Signwriters, Decorative Painters, Engravers and Etchers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Handicraft Workers in Wood and Related Materials,7331,7317,"Handicraft Workers in Wood, Basketry and Related Materials",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Handicraft Workers in Wood and Related Materials,7331,7319,Handicraft Workers Not Elsewhere Classified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Handicraft Workers in Textile, Leather and Related Materials",7332,7318,"Handicraft Workers in Textile, Leather and Related Materials",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Compositors, Typesetters and Related Workers",7341,7321,Pre-press Technicians,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Compositors, Typesetters and Related Workers",7341,7322,Printers ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stereotypers and Electrotypers,7342,7321,Pre-press Technicians,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Printing Engravers and Etchers,7343,7321,Pre-press Technicians,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Photographic and Related Workers,7344,8132,Photographic Products Machine Operators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bookbinders and Related Workers,7345,7323,Print Finishing and Binding Workers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Silk-screen, Block and Textile Printers",7346,7322,Printers ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Butchers, Fishmongers and Related Food Preparers",7411,7511,"Butchers, Fishmongers and Related Food Preparers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bakers, Pastry-cooks and Confectionery Makers",7412,7512,"Bakers, Pastry-cooks and Confectionery Makers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dairy-products Makers,7413,7513,Dairy Products Makers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fruit, Vegetable and Related Preservers",7414,7514,"Fruit, Vegetable and Related Preservers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food and Beverage Tasters and Graders,7415,7515,Food and Beverage Tasters and Graders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tobacco Preparers and Tobacco Products Makers,7416,7516,Tobacco Preparers and Tobacco Products Makers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wood Treaters,7421,7521,Wood Treaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet-makers and Related Workers,7422,7522,Cabinet-makers and Related Workers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woodworking-machine Setters and Setter-operators,7423,7523,Woodworking Machine Tool Setters and Operators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Basketry Weavers, Brush makers and Related Workers",7424,7317,"Handicraft Workers in Wood, Basketry and Related Materials",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre Preparers,7431,7318,"Handicraft Workers in Textile, Leather and Related Materials",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Weavers, Knitters and Related Workers",7432,7318,"Handicraft Workers in Textile, Leather and Related Materials",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Weavers, Knitters and Related Workers",7432,8152,Weaving and Knitting Machine Operators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tailors, Dressmakers and Hatters",7433,7531,"Tailors, Dressmakers, Furriers and Hatters",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Furriers and Related Workers,7434,7531,"Tailors, Dressmakers, Furriers and Hatters",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Textile, Leather and Related Pattern-makers and Cutters",7435,7532,Garment and Related Patternmakers and Cutters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sewers, Embroiderers and Related Workers",7436,7533,"Sewing, Embroidery and Related Workers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upholsterers and Related workers,7437,7534,Upholsterers and Related Workers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pelt Dressers, Tanners and Fellmongers",7441,7535,"Pelt Dressers, Tanners and Fellmongers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shoe-makers and Related Workers,7442,7536,Shoemakers and Related Workers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mining-plant Operators,8111,3121,Mining Supervisors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mining-plant Operators,8111,8111,Miners and Quarriers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral-ore- and Stone-processing-plant Operators,8112,8112,Mineral and Stone Processing Plant Operators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well Drillers and Borers and Related Workers,8113,8113,Well Drillers and Borers and Related Workers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ore and Metal Furnace Operators,8121,3135,Metal Production Process Controllers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ore and Metal Furnace Operators,8121,8121,Metal Processing Plant Operators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Metal Melters, Casters and Rolling-mill Operators",8122,3135,Metal Production Process Controllers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Metal Melters, Casters and Rolling-mill Operators",8122,8121,Metal Processing Plant Operators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metal-heat-treating-plant Operators,8123,3135,Metal Production Process Controllers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metal-heat-treating-plant Operators,8123,8121,Metal Processing Plant Operators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metal Drawers and Extruders,8124,3135,Metal Production Process Controllers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metal Drawers and Extruders,8124,8121,Metal Processing Plant Operators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glass and Ceramics Kiln and Related Machine Operators,8131,8181,Glass and Ceramics Plant Operators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Glass, Ceramics and Related Plant Operators Not Elsewhere Classified",8139,8181,Glass and Ceramics Plant Operators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wood-processing-plant Operators,8141,8172,Wood Processing Plant Operators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paper-pulp Plant Operators,8142,3139,Process Control Technicians Not Elsewhere Classified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paper-pulp Plant Operators,8142,8171,Pulp and Papermaking Plant Operators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papermaking-plant Operators,8143,3139,Process Control Technicians Not Elsewhere Classified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papermaking-plant Operators,8143,8171,Pulp and Papermaking Plant Operators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Crushing-, Grinding- and Chemical-mixing Machinery Operators",8151,8131,Chemical Products Plant and Machine Operators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemical-heat-treating-plant Operators,8152,3133,Chemical Processing Plant Controllers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemical-heat-treating-plant Operators,8152,8131,Chemical Products Plant and Machine Operators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemical-filtering- and Separating-equipment Operators,8153,3133,Chemical Processing Plant Controllers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemical-filtering- and Separating-equipment Operators,8153,8131,Chemical Products Plant and Machine Operators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemical-still and Reactor operators (except Petroleum and Natural Gas),8154,3133,Chemical Processing Plant Controllers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemical-still and Reactor operators (except Petroleum and Natural Gas),8154,8131,Chemical Products Plant and Machine Operators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petroleum- and Natural-gas-refining-plant Operators,8155,3134,Petroleum and Natural Gas Refining Plant Operators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petroleum- and Natural-gas-refining-plant Operators,8155,8131,Chemical Products Plant and Machine Operators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemical-processing-plant Operators Not Elsewhere Classified,8159,3133,Chemical Processing Plant Controllers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemical-processing-plant Operators Not Elsewhere Classified,8159,8131,Chemical Products Plant and Machine Operators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power-production Plant Operators,8161,3131,Power Production Plant Operators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steam-engine and Boiler Operators,8162,8182,Steam Engine and Boiler Operators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Incinerator, water-treatment and Related Plant Operators",8163,3132,Incinerator and Water Treatment Plant Operators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Automated-assembly-line Operators,8171,3122,Manufacturing Supervisors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Automated-assembly-line Operators,8171,3139,Process Control Technicians Not Elsewhere Classified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industrial-robot Operators,8172,3122,Manufacturing Supervisors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industrial-robot Operators,8172,3139,Process Control Technicians Not Elsewhere Classified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machine-tool Operators,8211,3122,Manufacturing Supervisors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machine-tool Operators,8211,7211,Metal Moulders and Coremakers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machine-tool Operators,8211,7223,Metal Working Machine Tool Setters and Operators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cement and Other Mineral Products Machine Operators,8212,8114,"Cement, Stone and Other Mineral Products Machine Operators",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pharmaceutical- and Toiletry-products Machine Operators,8221,3122,Manufacturing Supervisors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pharmaceutical- and Toiletry-products Machine Operators,8221,8131,Chemical Products Plant and Machine Operators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ammunition- and Explosive-products Machine Operators,8222,3122,Manufacturing Supervisors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ammunition- and Explosive-products Machine Operators,8222,8131,Chemical Products Plant and Machine Operators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Metal Finishing-, Plating- and Coating-machine Operators",8223,3122,Manufacturing Supervisors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Metal Finishing-, Plating- and Coating-machine Operators",8223,8122,"Metal Finishing, Plating and Coating Machine Operators",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Photographic-products Machine Operators,8224,3122,Manufacturing Supervisors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Photographic-products Machine Operators,8224,8132,Photographic Products Machine Operators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemical-products Machine Operators Not Elsewhere Classified,8229,3122,Manufacturing Supervisors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemical-products Machine Operators Not Elsewhere Classified,8229,8131,Chemical Products Plant and Machine Operators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rubber-products Machine Operators,8231,3122,Manufacturing Supervisors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rubber-products Machine Operators,8231,8141,Rubber Products Machine Operators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plastic-products Machine Operators,8232,3122,Manufacturing Supervisors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plastic-products Machine Operators,8232,8142,Plastic Products Machine Operators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wood-products Machine Operators,8240,3122,Manufacturing Supervisors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wood-products Machine Operators,8240,7521,Wood Treaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wood-products Machine Operators,8240,7523,Woodworking Machine Tool Setters and Operators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Printing-machine Operators,8251,3122,Manufacturing Supervisors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Printing-machine Operators,8251,7322,Printers ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bookbinding-machine Operators,8252,3122,Manufacturing Supervisors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bookbinding-machine Operators,8252,7323,Print Finishing and Binding Workers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paper-products Machine Operators,8253,3122,Manufacturing Supervisors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paper-products Machine Operators,8253,8143,Paper Products Machine Operators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fibre-preparing-, spinning- and Winding-machine Operators",8261,3122,Manufacturing Supervisors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fibre-preparing-, spinning- and Winding-machine Operators",8261,8151,"Fibre Preparing, Spinning and Winding Machine Operators",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weaving- and Knitting-machine Operators,8262,3122,Manufacturing Supervisors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weaving- and Knitting-machine Operators,8262,8152,Weaving and Knitting Machine Operators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sewing-machine Operators,8263,3122,Manufacturing Supervisors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sewing-machine Operators,8263,8153,Sewing Machine Operators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bleaching-, Dyeing- and Cleaning-machine Operators",8264,3122,Manufacturing Supervisors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bleaching-, Dyeing- and Cleaning-machine Operators",8264,8154,"Bleaching, Dyeing and Fabric Cleaning Machine Operators",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bleaching-, Dyeing- and Cleaning-machine Operators",8264,8157,Laundry Machine Operators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
