soc2018_title,soc2018_code,employment_2024_thousands,employment_2034_thousands,employment_change_24to34_thousands,employment_change_24to34_percent,employment_change_24to34_thousands_annual_average,median_annual_wage_2024,typical_entry_level_edu,education_code,work_experience_in_a_related_occupation,work_exp_code,typical_ojt,ojt_code
Locomotive engineers,53-4011,27,27.2,0.2,0.7,2.2,77400,High school diploma or equivalent,7,Less than 5 years,2,Moderate-term on-the-job training,4
Radiologic technologists and technicians,29-2034,228,237.8,9.8,4.3,12.9,77660,Associate's degree,4,None,4,None,6
"Communications teachers, postsecondary",25-1122,35.8,36.6,0.8,2.1,2.7,77800,Doctoral or professional degree,1,None,4,None,6
"Philosophy and religion teachers, postsecondary",25-1126,27.3,27.5,0.2,0.7,2,78050,Doctoral or professional degree,1,None,4,None,6
Fire inspectors and investigators,33-2021,14.7,15.2,0.6,3.8,1.5,78060,Postsecondary nondegree award,5,5 years or more,1,Moderate-term on-the-job training,4
Acupuncturists,29-1291,15.3,16.4,1,6.8,0.9,78140,Master's degree,2,None,4,None,6
"Securities, commodities, and financial services sales agents",41-3031,514.5,531.6,17.1,3.3,38.1,78140,Bachelor's degree,3,None,4,Moderate-term on-the-job training,4
Social and community service managers,11-5100,219.8,233.9,14.1,6.4,18.6,78240,Bachelor's degree,3,Less than 5 years,2,None,6
"English language and literature teachers, postsecondary",25-1123,72.2,72.2,0,0,5.1,78270,Doctoral or professional degree,1,None,4,None,6
"First-line supervisors of mechanics, installers, and repairers",49-1011,617.5,636.5,19.1,3.1,52.4,78300,High school diploma or equivalent,7,Less than 5 years,2,None,6
Orthotists and prosthetists,29-2091,10.1,11.5,1.3,13.3,0.9,78310,Master's degree,2,None,4,Internship/residency,1
Cartographers and photogrammetrists,17-1021,13.4,14.3,0.9,6.4,1,78380,Bachelor's degree,3,None,4,None,6
Compliance officers,13-1041,418,430.3,12.3,3,33.3,78420,Bachelor's degree,3,None,4,Moderate-term on-the-job training,4
"Postsecondary teachers, all other",25-1199,183.4,186.8,3.4,1.8,13.5,78490,Doctoral or professional degree,1,None,4,None,6
"Library science teachers, postsecondary",25-1082,5.1,5.3,0.2,3,0.4,78630,Doctoral or professional degree,1,None,4,None,6
Aircraft mechanics and service technicians,49-3011,139.4,145,5.6,4,11.3,78680,Postsecondary nondegree award,5,None,4,None,6
First-line supervisors of construction trades and extraction workers,47-1011,921.6,970.6,49,5.3,74.4,78690,High school diploma or equivalent,7,5 years or more,1,None,6
Chiropractors,29-1011,57.2,62.6,5.4,9.5,2.8,79000,Doctoral or professional degree,1,None,4,None,6
Animal scientists,19-1011,2.8,2.9,0.2,5.8,0.2,79120,Bachelor's degree,3,None,4,None,6
"Mathematical science teachers, postsecondary",25-1022,58.9,60.2,1.3,2.3,4.4,79350,Doctoral or professional degree,1,None,4,None,6
Commercial and industrial designers,27-1021,30.6,31.6,1,3.2,2.5,79450,Bachelor's degree,3,None,4,None,6
Landscape architects,17-1012,21.8,22.6,0.8,3.5,1.7,79660,Bachelor's degree,3,None,4,Internship/residency,1
Aerospace engineering and operations technologists and technicians,17-3021,9.3,10.1,0.8,8.1,0.9,79830,Associate's degree,4,None,4,None,6
Insurance underwriters,13-2053,127,123.7,-3.3,-2.6,8.2,79880,Bachelor's degree,3,None,4,Moderate-term on-the-job training,4
"Nursing instructors and teachers, postsecondary",25-1072,91.6,106.9,15.3,16.8,8.6,79940,Doctoral or professional degree,1,Less than 5 years,2,None,6
"Environmental scientists and specialists, including health",19-2041,90.3,94.3,4,4.4,8.5,80060,Bachelor's degree,3,None,4,None,6
"Financial specialists, all other",13-2099,137.1,141.4,4.3,3.1,10.3,80190,Bachelor's degree,3,None,4,None,6
"Art, drama, and music teachers, postsecondary",25-1121,122.8,124.8,2.1,1.7,9,80190,Master's degree,2,None,4,None,6
"Psychology teachers, postsecondary",25-1066,52.5,54.4,1.9,3.6,4,80330,Doctoral or professional degree,1,None,4,None,6
Respiratory therapists,29-1126,139.6,156.4,16.8,12.1,8.8,80450,Associate's degree,4,None,4,None,6
Fashion designers,27-1022,25.7,26.2,0.5,2,2.3,80690,Bachelor's degree,3,None,4,None,6
Logisticians,13-1081,241,281.3,40.3,16.7,26.4,80880,Bachelor's degree,3,None,4,None,6
Credit analysts,13-2041,67.8,64.8,-3,-4.4,3.7,80970,Bachelor's degree,3,None,4,None,6
"Business operations specialists, all other",13-1199,1205.7,1242,36.3,3,108.2,81270,Bachelor's degree,3,None,4,None,6
Avionics technicians,49-2091,21.4,23.1,1.7,8.2,1.8,81390,Postsecondary nondegree award,5,None,4,None,6
"History teachers, postsecondary",25-1125,24.6,24.6,-0.1,-0.2,1.7,81500,Doctoral or professional degree,1,None,4,None,6
Accountants and auditors,13-2011,1579.8,1652.6,72.8,4.6,124.2,81680,Bachelor's degree,3,None,4,None,6
Transit and railroad police,33-3052,3.1,3.2,0.1,3,0.2,82320,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Sociology teachers, postsecondary",25-1067,15.4,15.7,0.3,2.1,1.1,82540,Doctoral or professional degree,1,None,4,None,6
"Electrical and electronics installers and repairers, transportation equipment",49-2093,7,7.4,0.4,6.1,0.6,82730,Postsecondary nondegree award,5,None,4,Long-term on-the-job training,3
Gas plant operators,51-8092,16.2,14.8,-1.4,-8.8,1.3,83400,High school diploma or equivalent,7,None,4,Long-term on-the-job training,3
"Biological science teachers, postsecondary",25-1042,66,70.8,4.8,7.3,5.4,83460,Doctoral or professional degree,1,None,4,None,6
Producers and directors,27-2012,167,175.2,8.3,4.9,12.8,83480,Bachelor's degree,3,Less than 5 years,2,None,6
Signal and track switch repairers,49-9097,8.7,8.8,0.1,1.7,0.8,83600,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Urban and regional planners,19-3051,44.7,46.2,1.5,3.4,3.4,83720,Master's degree,2,None,4,None,6
Occupational health and safety specialists,19-5011,131.9,148.4,16.5,12.5,14.9,83910,Bachelor's degree,3,None,4,None,6
Epidemiologists,19-1041,12.3,14.3,2,16.2,0.8,83980,Master's degree,2,None,4,None,6
First-line supervisors of non-retail sales workers,41-1012,320,320,0,0,24.8,84130,High school diploma or equivalent,7,Less than 5 years,2,None,6
Chemists,19-2031,86.8,91,4.3,4.9,6.3,84150,Bachelor's degree,3,None,4,None,6
"Area, ethnic, and cultural studies teachers, postsecondary",25-1062,14.5,14.8,0.3,2.4,1.1,84290,Doctoral or professional degree,1,None,4,None,6
Agricultural engineers,17-2021,1.7,1.8,0.1,5.9,0.1,84630,Bachelor's degree,3,None,4,None,6
Subway and streetcar operators,53-4041,9.6,9.9,0.3,3.4,0.9,84830,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Food scientists and technologists,19-1012,15.2,16.2,1,6.5,1.2,85310,Bachelor's degree,3,None,4,None,6
"Captains, mates, and pilots of water vessels",53-5021,40.7,40.9,0.2,0.5,4.3,85540,Postsecondary nondegree award,5,Less than 5 years,2,None,6
Gambling managers,11-7100,5.1,5.2,0.1,1.2,0.6,85580,High school diploma or equivalent,7,Less than 5 years,2,None,6
Transportation inspectors,53-6051,25.7,26.1,0.4,1.7,2.5,85750,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Emergency management directors,11-6100,13.2,13.6,0.4,3,1,86130,Bachelor's degree,3,5 years or more,1,None,6
"Chemistry teachers, postsecondary",25-1052,25.4,26,0.6,2.2,1.9,86220,Doctoral or professional degree,1,None,4,None,6
"Agricultural sciences teachers, postsecondary",25-1041,10.7,11.2,0.4,4.1,0.8,86350,Doctoral or professional degree,1,None,4,None,6
"Geography teachers, postsecondary",25-1064,4,4.2,0.1,3.3,0.3,86730,Doctoral or professional degree,1,None,4,None,6
School psychologists,19-3034,67.2,67.7,0.5,0.7,3.8,86930,Master's degree,2,None,4,Internship/residency,1
Microbiologists,19-1022,20.7,21.6,0.8,4.1,1.7,87330,Bachelor's degree,3,None,4,None,6
"Environmental science teachers, postsecondary",25-1053,9,9.3,0.3,2.9,0.7,87710,Doctoral or professional degree,1,None,4,None,6
"Life scientists, all other",19-1099,7.8,8.1,0.3,3.7,0.4,87800,Bachelor's degree,3,None,4,None,6
Budget analysts,13-2031,50.4,51,0.5,1,3.1,87930,Bachelor's degree,3,None,4,None,6
"Farmers, ranchers, and other agricultural managers",13-1100,836.1,825,-11.1,-1.3,85.5,87980,High school diploma or equivalent,7,5 years or more,1,None,6
Magnetic resonance imaging technologists,29-2035,44.1,47.2,3.1,7.1,2.6,88180,Associate's degree,4,Less than 5 years,2,None,6
"Education administrators, all other",11-3900,60.2,61.7,1.5,2.5,4.1,89040,Bachelor's degree,3,Less than 5 years,2,None,6
Diagnostic medical sonographers,29-2032,90,101.7,11.7,13,5.8,89340,Associate's degree,4,None,4,None,6
Models,41-9012,6.7,6.7,0,-0.5,1.2,89990,No formal educational credential,8,None,4,None,6
Financial examiners,13-2061,65.1,77.2,12.1,18.5,5.7,90400,Bachelor's degree,3,None,4,Long-term on-the-job training,3
Web developers,15-1254,86,92.5,6.5,7.5,5.4,90930,Bachelor's degree,3,None,4,None,6
Operations research analysts,15-2031,112.1,136.2,24.1,21.5,9.6,91290,Bachelor's degree,3,None,4,None,6
Technical writers,27-3042,56.4,56.9,0.5,0.9,4.5,91670,Bachelor's degree,3,Less than 5 years,2,Short-term on-the-job training,5
Hydrologists,19-2043,6.3,6.3,0,-0.1,0.5,92060,Bachelor's degree,3,None,4,None,6
Audiologists,29-1181,15.8,17.3,1.5,9.5,0.7,92120,Doctoral or professional degree,1,None,4,None,6
First-line supervisors of firefighting and prevention workers,33-1021,97.2,100.5,3.4,3.4,6.5,92430,Postsecondary nondegree award,5,Less than 5 years,2,Moderate-term on-the-job training,4
Electrical power-line installers and repairers,49-9051,127.4,135.8,8.4,6.6,10.7,92560,High school diploma or equivalent,7,None,4,Long-term on-the-job training,3
Postmasters and mail superintendents,11-3100,13.1,12.7,-0.5,-3.5,0.9,92730,High school diploma or equivalent,7,Less than 5 years,2,Moderate-term on-the-job training,4
"Biological scientists, all other",19-1029,63.7,64.5,0.8,1.2,4.8,93330,Bachelor's degree,3,None,4,None,6
Labor relations specialists,13-1075,65.4,65.4,-0.1,-0.1,5.1,93500,Bachelor's degree,3,Less than 5 years,2,None,6
Detectives and criminal investigators,33-3021,117.9,117.1,-0.8,-0.7,7.8,93580,High school diploma or equivalent,7,Less than 5 years,2,Moderate-term on-the-job training,4
Registered nurses,29-1141,3391,3557.1,166.1,4.9,189.1,93600,Bachelor's degree,3,None,4,None,6
Dental hygienists,29-1292,221.6,237.2,15.5,7,15.3,94260,Associate's degree,4,None,4,None,6
"Political science teachers, postsecondary",25-1065,21.8,22.2,0.4,2,1.6,94680,Doctoral or professional degree,1,None,4,None,6
Speech-language pathologists,29-1127,187.4,215.5,28.2,15,13.3,95410,Master's degree,2,None,4,Internship/residency,1
"Anthropology and archeology teachers, postsecondary",25-1061,6.5,6.7,0.2,2.7,0.5,95770,Doctoral or professional degree,1,None,4,None,6
Clinical and counseling psychologists,19-3033,76.3,84.8,8.5,11.2,4.8,95830,Doctoral or professional degree,1,None,4,Internship/residency,1
"Agents and business managers of artists, performers, and athletes",13-1011,21.4,23.2,1.9,8.7,2.2,96310,Bachelor's degree,3,Less than 5 years,2,None,6
"Computer science teachers, postsecondary",25-1021,44.8,47.2,2.4,5.3,3.5,96690,Doctoral or professional degree,1,None,4,None,6
"Architects, except landscape and naval",17-1011,123.6,128.4,4.8,3.9,7.8,96690,Bachelor's degree,3,None,4,Internship/residency,1
Network and computer systems administrators,15-1244,331.5,317.7,-13.8,-4.2,14.3,96800,Bachelor's degree,3,None,4,None,6
Nuclear medicine technologists,29-2033,20,20.6,0.6,3,0.9,97020,Associate's degree,4,None,4,None,6
Geographers,19-3092,1.5,1.5,0,-3.1,0.1,97200,Bachelor's degree,3,None,4,None,6
"Business teachers, postsecondary",25-1011,103.1,109,5.8,5.7,8.1,97270,Doctoral or professional degree,1,None,4,None,6
"Physics teachers, postsecondary",25-1054,17.1,17.5,0.4,2.5,1.3,97360,Doctoral or professional degree,1,None,4,None,6
Atmospheric and space scientists,19-2021,9.4,9.5,0.1,0.7,0.7,97450,Bachelor's degree,3,None,4,None,6
"Petroleum pump system operators, refinery operators, and gaugers",51-8093,34.9,34,-1,-2.8,3.2,97540,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Web and digital interface designers,15-1255,128.9,137.9,9,7,9.1,98090,Bachelor's degree,3,None,4,None,6
Occupational therapists,29-1122,160,182.1,22.1,13.8,10.2,98340,Master's degree,2,None,4,None,6
Computer programmers,15-1251,121.2,113.9,-7.2,-6,5.5,98670,Bachelor's degree,3,None,4,None,6
Genetic counselors,29-9092,4,4.3,0.4,9.3,0.3,98910,Master's degree,2,None,4,None,6
"Geoscientists, except hydrologists and geographers",19-2042,25.1,26,0.8,3.2,2,99240,Bachelor's degree,3,None,4,None,6
Civil engineers,17-2051,368.9,387.5,18.5,5,23.6,99590,Bachelor's degree,3,None,4,None,6
Power plant operators,51-8013,31.6,28,-3.5,-11.2,2.5,99670,High school diploma or equivalent,7,None,4,Long-term on-the-job training,3
Special effects artists and animators,27-1014,57.1,58,0.9,1.6,5,99800,Bachelor's degree,3,None,4,None,6
"Sales representatives, wholesale and manufacturing, technical and scientific products",41-4011,303.2,308.9,5.7,1.9,27.2,100070,Bachelor's degree,3,None,4,Moderate-term on-the-job training,4
"Social scientists and related workers, all other",19-3099,40.8,40.1,-0.7,-1.7,3.2,100340,Bachelor's degree,3,None,4,None,6
"Medical scientists, except epidemiologists",19-1042,165.3,179.6,14.3,8.7,9.6,100590,Doctoral or professional degree,1,None,4,None,6
Project management specialists,13-1082,1046.3,1105,58.7,5.6,78.2,100750,Bachelor's degree,3,None,4,None,6
"Forestry and conservation science teachers, postsecondary",25-1043,1.6,1.7,0.1,4,0.1,100830,Doctoral or professional degree,1,None,4,None,6
"Electrical and electronics repairers, powerhouse, substation, and relay",49-2095,23.4,24.7,1.3,5.5,2,100940,Postsecondary nondegree award,5,Less than 5 years,2,Moderate-term on-the-job training,4
Physical therapists,29-1123,267.2,296.4,29.3,10.9,13.2,101020,Doctoral or professional degree,1,None,4,None,6
"Mining and geological engineers, including mining safety engineers",17-2151,7,7,0,0.7,0.4,101020,Bachelor's degree,3,None,4,None,6
Industrial engineers,17-2112,351.1,389.6,38.5,11,25.2,101140,Bachelor's degree,3,None,4,None,6
Management analysts,13-1111,1075.1,1169.7,94.5,8.8,98.1,101190,Bachelor's degree,3,Less than 5 years,2,None,6
Ship engineers,53-5031,8.8,9,0.1,1.6,1.1,101320,Postsecondary nondegree award,5,Less than 5 years,2,None,6
Financial and investment analysts,13-2051,368.5,389.6,21.1,5.7,25.1,101350,Bachelor's degree,3,None,4,None,6
"Atmospheric, earth, marine, and space sciences teachers, postsecondary",25-1051,14,14.4,0.4,2.6,1,101390,Doctoral or professional degree,1,None,4,None,6
"Architecture teachers, postsecondary",25-1031,11.6,11.9,0.2,2,0.9,101480,Doctoral or professional degree,1,None,4,None,6
Sociologists,19-3041,3.4,3.6,0.1,3.6,0.3,101690,Master's degree,2,None,4,None,6
Radiation therapists,29-1124,19.2,19.6,0.4,1.9,0.9,101990,Associate's degree,4,None,4,None,6
"Transportation, storage, and distribution managers",11-7100,216.7,229.8,13.1,6.1,18.5,102010,High school diploma or equivalent,7,5 years or more,1,None,6
Personal financial advisors,13-2052,326,357.2,31.2,9.6,24.1,102140,Bachelor's degree,3,None,4,Long-term on-the-job training,3
Mechanical engineers,17-2141,293.1,319.6,26.5,9.1,18.1,102320,Bachelor's degree,3,None,4,None,6
Software quality assurance analysts and testers,15-1253,201.7,221.9,20.2,10,14,102610,Bachelor's degree,3,None,4,None,6
General and operations managers,11-1021,3712.9,3876.8,164,4.4,308.7,102950,Bachelor's degree,3,5 years or more,1,None,6
Statisticians,15-2041,32.2,34.9,2.7,8.5,2,103300,Master's degree,2,None,4,None,6
Biochemists and biophysicists,19-1021,35.6,37.6,2.1,5.8,2.9,103650,Doctoral or professional degree,1,None,4,None,6
Computer systems analysts,15-1211,521.1,566.5,45.5,8.7,34.2,103790,Bachelor's degree,3,None,4,None,6
"Education administrators, postsecondary",11-3300,226.6,230.5,4,1.7,15.1,103960,Master's degree,2,Less than 5 years,2,None,6
"Education administrators, kindergarten through secondary",11-3200,333.3,328.1,-5.1,-1.5,20.8,104070,Master's degree,2,5 years or more,1,None,6
Materials scientists,19-2032,8.7,9.1,0.4,4.9,0.6,104160,Bachelor's degree,3,None,4,None,6
Environmental engineers,17-2081,39.4,41,1.5,3.9,3,104170,Bachelor's degree,3,None,4,None,6
Nuclear technicians,19-4051,6,5.5,-0.5,-7.7,0.7,104240,Associate's degree,4,None,4,Moderate-term on-the-job training,4
Database administrators,15-1242,78,77.5,-0.5,-0.7,3.8,104620,Bachelor's degree,3,None,4,None,6
Facilities managers,13-1100,151.4,157.1,5.7,3.8,13.2,104690,Bachelor's degree,3,Less than 5 years,2,None,6
"Health specialties teachers, postsecondary",25-1071,289.6,339.7,50.1,17.3,27.4,105620,Doctoral or professional degree,1,Less than 5 years,2,None,6
Marine engineers and naval architects,17-2121,8.5,9,0.5,5.8,0.6,105670,Bachelor's degree,3,None,4,None,6
First-line supervisors of police and detectives,33-1012,160.8,165.4,4.6,2.9,10.9,105980,High school diploma or equivalent,7,Less than 5 years,2,Moderate-term on-the-job training,4
Financial risk specialists,13-2054,60.5,64.4,3.9,6.5,4.8,106000,Bachelor's degree,3,None,4,None,6
"Engineering teachers, postsecondary",25-1032,50.3,54.4,4.1,8.1,4.1,106120,Doctoral or professional degree,1,None,4,None,6
Elevator and escalator installers and repairers,47-4021,24.2,25.4,1.2,5,2,106580,High school diploma or equivalent,7,None,4,Apprenticeship,2
Bioengineers and biomedical engineers,17-2031,22.2,23.3,1.1,5.2,1.3,106950,Bachelor's degree,3,None,4,None,6
Construction managers,21-1100,550.3,598.4,48.1,8.7,46.8,106980,Bachelor's degree,3,None,4,Moderate-term on-the-job training,4
Power distributors and dispatchers,51-8012,9.3,9,-0.3,-3.2,0.8,107240,High school diploma or equivalent,7,None,4,Long-term on-the-job training,3
Materials engineers,17-2131,23,24.3,1.3,5.7,1.5,108310,Bachelor's degree,3,None,4,None,6
Administrative services managers,12-1100,271.2,283.8,12.6,4.6,23.2,108390,Bachelor's degree,3,Less than 5 years,2,None,6
"Computer occupations, all other",15-1299,472,510.5,38.5,8.2,31.3,108970,Bachelor's degree,3,None,4,None,6
"Health and safety engineers, except mining safety engineers and inspectors",17-2111,23.8,24.9,1.1,4.4,1.5,109660,Bachelor's degree,3,None,4,None,6
Industrial-organizational psychologists,19-3032,5.6,5.9,0.3,6.3,0.4,109840,Master's degree,2,None,4,Internship/residency,1
Art directors,27-1011,135,140.7,5.7,4.2,12.3,111040,Bachelor's degree,3,5 years or more,1,None,6
Electrical engineers,17-2071,192,205.7,13.8,7.2,11.7,111910,Bachelor's degree,3,None,4,None,6
Data scientists,15-2051,245.9,328.3,82.5,33.5,23.4,112590,Bachelor's degree,3,None,4,None,6
"Healthcare diagnosing or treating practitioners, all other",29-1299,41.3,42.2,0.8,2,2.4,113730,Master's degree,2,None,4,None,6
"Administrative law judges, adjudicators, and hearing officers",23-1021,17.5,17.4,-0.1,-0.7,0.5,115230,Doctoral or professional degree,1,5 years or more,1,Short-term on-the-job training,5
Economists,19-3011,17.6,17.8,0.2,1.2,0.9,115440,Master's degree,2,None,4,None,6
"Psychologists, all other",19-3039,55.3,57.7,2.4,4.3,3.9,117580,Master's degree,2,None,4,Internship/residency,1
"Engineers, all other",17-2199,158.8,162.1,3.3,2.1,9.3,117750,Bachelor's degree,3,None,4,None,6
Medical and health services managers,11-1100,616.2,759.1,142.9,23.2,62.1,117960,Bachelor's degree,3,Less than 5 years,2,None,6
"Physical scientists, all other",19-2099,31.9,32.1,0.2,0.6,2,117960,Bachelor's degree,3,None,4,None,6
"Economics teachers, postsecondary",25-1063,15.8,16.1,0.3,2.1,1.2,119980,Doctoral or professional degree,1,None,4,None,6
Industrial production managers,11-5100,241.9,246.5,4.6,1.9,17.1,121440,Bachelor's degree,3,5 years or more,1,None,6
Sales engineers,41-9031,56.8,59.9,3.1,5.5,5,121520,Bachelor's degree,3,None,4,Moderate-term on-the-job training,4
Mathematicians,15-2021,2.4,2.4,0,-0.7,0.1,121680,Master's degree,2,None,4,None,6
Chemical engineers,17-2041,21.6,22.1,0.6,2.6,1.1,121860,Bachelor's degree,3,None,4,None,6
Nuclear power reactor operators,51-8011,5.7,4.9,-0.9,-15.3,0.4,122610,High school diploma or equivalent,7,None,4,Long-term on-the-job training,3
Commercial pilots,53-2012,55.4,58.3,2.8,5.1,6.6,122670,Postsecondary nondegree award,5,None,4,Moderate-term on-the-job training,4
Fundraising managers,11-3300,45.7,47.6,1.9,4.2,3.6,123480,Bachelor's degree,3,5 years or more,1,None,6
Information security analysts,15-1212,182.8,234.9,52.1,28.5,16,124910,Bachelor's degree,3,Less than 5 years,2,None,6
Veterinarians,29-1131,86.4,94.7,8.3,9.6,3,125510,Doctoral or professional degree,1,None,4,None,6
Actuaries,15-2011,33.6,40.9,7.3,21.8,2.4,125770,Bachelor's degree,3,None,4,Long-term on-the-job training,3
"Law teachers, postsecondary",25-1112,29.5,30.2,0.6,2.2,2.2,126650,Doctoral or professional degree,1,Less than 5 years,2,None,6
Advertising and promotions managers,11-1100,27,26.4,-0.6,-2.2,2.1,126960,Bachelor's degree,3,Less than 5 years,2,None,6
Training and development managers,11-3100,46.4,49.2,2.7,5.8,3.8,127090,Bachelor's degree,3,5 years or more,1,None,6
Nuclear engineers,17-2161,15.4,15.3,-0.2,-1.1,0.8,127520,Bachelor's degree,3,None,4,None,6
"Electronics engineers, except computer",17-2072,95.9,101.8,6,6.2,5.7,127590,Bachelor's degree,3,None,4,None,6
Nurse midwives,29-1161,8.6,9.5,0.9,11.1,0.5,128790,Master's degree,2,None,4,None,6
Nurse practitioners,29-1171,320.4,448.8,128.4,40.1,29.5,129210,Master's degree,2,None,4,None,6
Computer network architects,15-1241,179.2,200.6,21.4,11.9,11.2,130390,Bachelor's degree,3,5 years or more,1,None,6
Astronomers,19-2011,1.8,1.8,0,2.2,0.1,132170,Doctoral or professional degree,1,None,4,None,6
Software developers,15-1252,1693.8,1961.4,267.7,15.8,115.2,133080,Bachelor's degree,3,None,4,None,6
Physician assistants,29-1071,162.7,195.8,33.2,20.4,12,133260,Master's degree,2,None,4,None,6
Optometrists,29-1041,47.8,51.6,3.8,8,2.4,134830,Doctoral or professional degree,1,None,4,None,6
Aerospace engineers,17-2011,71.6,75.9,4.4,6.1,4.5,134830,Bachelor's degree,3,None,4,None,6
Database architects,15-1243,66.9,72.7,5.8,8.7,4,135980,Bachelor's degree,3,Less than 5 years,2,None,6
"Managers, all other",11-9900,1333.7,1393.5,59.8,4.5,106.7,136550,Bachelor's degree,3,Less than 5 years,2,None,6
Pharmacists,29-1051,335.1,350.5,15.4,4.6,14.2,137480,Doctoral or professional degree,1,None,4,None,6
Sales managers,22-1100,619.5,648.5,29,4.7,49,138060,Bachelor's degree,3,Less than 5 years,2,None,6
Medical dosimetrists,29-2036,4.8,4.9,0.2,3.5,0.2,138110,Bachelor's degree,3,None,4,None,6
Public relations managers,11-3200,83.2,87.3,4.1,5,6.6,138520,Bachelor's degree,3,5 years or more,1,None,6
Political scientists,19-3094,6.5,6.3,-0.2,-3.1,0.5,139380,Master's degree,2,None,4,None,6
Purchasing managers,11-6100,83.5,86.1,2.6,3.1,6.4,139510,Bachelor's degree,3,5 years or more,1,None,6
Human resources managers,21-1100,221.9,233,11.1,5,17.9,140030,Bachelor's degree,3,5 years or more,1,None,6
Compensation and benefits managers,11-1100,20.9,20.9,0,0.2,1.5,140360,Bachelor's degree,3,5 years or more,1,None,6
Computer and information research scientists,15-1221,40.3,48.3,7.9,19.7,3.2,140910,Master's degree,2,None,4,None,6
Petroleum engineers,17-2171,19.6,19.8,0.2,1.3,1.2,141280,Bachelor's degree,3,None,4,None,6
Air traffic controllers,53-2021,24.1,24.4,0.3,1.2,2.2,144580,Associate's degree,4,None,4,Long-term on-the-job training,3
Lawyers,23-1011,864.8,900.7,35.9,4.1,31.5,151160,Doctoral or professional degree,1,None,4,None,6
Podiatrists,29-1081,9.7,9.9,0.2,1.8,0.3,152800,Doctoral or professional degree,1,None,4,Internship/residency,1
Computer hardware engineers,17-2061,76.8,82.4,5.6,7.3,4.7,155020,Bachelor's degree,3,None,4,None,6
"Judges, magistrate judges, and magistrates",23-1023,27.3,28,0.7,2.5,0.9,156210,Doctoral or professional degree,1,5 years or more,1,Short-term on-the-job training,5
Marketing managers,21-1100,407,433.7,26.7,6.6,34.3,161030,Bachelor's degree,3,5 years or more,1,None,6
Natural sciences managers,21-1100,104.3,108.2,3.9,3.7,8.5,161180,Bachelor's degree,3,5 years or more,1,None,6
Financial managers,11-3100,868.6,997.4,128.8,14.8,74.6,161700,Bachelor's degree,3,5 years or more,1,None,6
Physicists,19-2012,24.6,25.6,1,4,1.7,166290,Doctoral or professional degree,1,None,4,None,6
Architectural and engineering managers,11-4100,212.5,220.5,8,3.8,14.5,167740,Bachelor's degree,3,5 years or more,1,None,6
Computer and information systems managers,21-1100,667.1,768.7,101.6,15.2,55.6,171200,Bachelor's degree,3,5 years or more,1,None,6
"Dentists, general",29-1021,129.8,135.2,5.4,4.1,3.9,172790,Doctoral or professional degree,1,None,4,None,6
Chief executives,11-1011,309.4,322.7,13.3,4.3,22.2,206420,Bachelor's degree,3,5 years or more,1,None,6
"Pediatricians, general",29-1221,46.4,46.8,0.4,0.8,1.2,210130,Doctoral or professional degree,1,None,4,Internship/residency,1
Nurse anesthetists,29-1151,53.8,58.5,4.6,8.6,2.7,223210,Master's degree,2,None,4,None,6
"Dentists, all other specialists",29-1029,6.6,6.6,0,0.3,0.2,225770,Doctoral or professional degree,1,None,4,Internship/residency,1
"Airline pilots, copilots, and flight engineers",53-2011,100,103.9,3.9,3.9,11.7,226600,Bachelor's degree,3,Less than 5 years,2,Moderate-term on-the-job training,4
General internal medicine physicians,29-1216,73.2,75.6,2.4,3.3,2.1,236350,Doctoral or professional degree,1,None,4,Internship/residency,1
Family medicine physicians,29-1215,116,119.1,3.1,2.7,3.3,238380,Doctoral or professional degree,1,None,4,Internship/residency,1
Dermatologists,29-1213,10.9,11.6,0.7,6.4,0.4,239200,Doctoral or professional degree,1,None,4,Internship/residency,1
Psychiatrists,29-1223,27.1,28.8,1.7,6.1,0.9,239200,Doctoral or professional degree,1,None,4,Internship/residency,1
Neurologists,29-1217,8.3,8.8,0.5,5.4,0.3,239200,Doctoral or professional degree,1,None,4,Internship/residency,1
Prosthodontists,29-1024,0.9,0.9,0,4.5,0,239200,Doctoral or professional degree,1,None,4,Internship/residency,1
Orthodontists,29-1023,5.9,6.2,0.3,4.4,0.2,239200,Doctoral or professional degree,1,None,4,Internship/residency,1
"Ophthalmologists, except pediatric",29-1241,12.5,13.1,0.5,4.3,0.3,239200,Doctoral or professional degree,1,None,4,Internship/residency,1
"Physicians, pathologists",29-1222,12.6,13.1,0.5,4.2,0.4,239200,Doctoral or professional degree,1,None,4,Internship/residency,1
Cardiologists,29-1212,19.4,20.2,0.8,4.1,0.6,239200,Doctoral or professional degree,1,None,4,Internship/residency,1
Oral and maxillofacial surgeons,29-1022,6.1,6.4,0.3,4.1,0.2,239200,Doctoral or professional degree,1,None,4,Internship/residency,1
"Orthopedic surgeons, except pediatric",29-1242,14.7,15.3,0.6,4.1,0.4,239200,Doctoral or professional degree,1,None,4,Internship/residency,1
"Surgeons, all other",29-1249,25.1,26,1,3.9,0.6,239200,Doctoral or professional degree,1,None,4,Internship/residency,1
